지역,구분,no.,시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
,강원,1,강원특별자치도,춘천시,이루숲어린이집,민간,정상,24455,강원특별자치도 춘천시 백석골길22번길 21-21 이루숲어린이집(퇴계동),033-243-8833,--,8,368,1,16,19,120,98,37.85401044,127.7211823,운영,,1992-08-28,,,
,강원,2,강원특별자치도,춘천시,리틀빌리지어린이집,민간,정상,24224,강원특별자치도 춘천시 영서로 2920 현대아파트 관리동 2층,033-252-8513,033-252-8514,5,256,2,12,12,59,45,37.91180858,127.7235752,운영,https://www.instagram.com/littlevillage2024/,2003-02-25,,,
,강원,3,강원특별자치도,춘천시,하은어린이집,민간,정상,24417,강원특별자치도 춘천시 안마산로 310 1층 (석사동),033-252-8476,033-252-8476,3,84,1,8,13,28,28,37.84763591,127.7467893,운영,,2002-06-28,,,
,강원,4,강원특별자치도,춘천시,꿈초롱어린이집,가정,정상,24284,강원특별자치도 춘천시 부평길 7 한신아파트 4동 105호(후평동 864),033-256-0879,033-255-0879,4,94,0,6,11,20,14,37.87301447,127.7511434,미운영,http://echorong.com/,1994-11-03,,,
,강원,5,강원특별자치도,춘천시,배꼽어린이집,가정,정상,24224,"강원특별자치도 춘천시 영서로 2920 109동 101호(사농동, 현대아파트)",033-256-7191,0504-093-3940,3,65,0,4,9,20,19,37.9124342,127.7237787,운영,http://cafe.daum.net/ccnavel,2003-10-15,,,
,강원,6,강원특별자치도,춘천시,동부어린이집,가정,정상,24230,"강원특별자치도 춘천시 충열로 32 102동 106호(우두동,동부아파트)",033-253-3407,033-253-3407,3,56,0,5,8,19,16,37.89835299,127.7322478,운영,,2004-07-15,,,
,강원,7,강원특별자치도,춘천시,대우어린이집,민간,정상,24318,강원특별자치도 춘천시 우석로101번길 86 관리동 1층,033-262-4750,033-264-4750,4,104,0,8,9,39,19,37.86905679,127.7569989,운영,,2001-10-30,,,
,강원,8,강원특별자치도,춘천시,다은어린이집,민간,정상,24210,강원특별자치도 춘천시 동면 소양강로 238 ,033-256-1186,033-242-1196,5,245,1,14,13,82,51,37.90819896,127.7492623,운영, 알콩달콩다은어린이집,2004-05-28,,,
,강원,9,강원특별자치도,춘천시,진흥어린이집,민간,정상,24322,강원특별자치도 춘천시 후석로186번길 9 (석사동),033-262-3215,033-262-3216,5,261,1,7,12,49,43,37.86816032,127.7535523,운영,,1997-09-16,,,
,강원,10,강원특별자치도,춘천시,신나는창의력어린이집,가정,정상,24458,강원특별자치도 춘천시 칠전서길 15-2 ,033-257-7717,033-910-7716,4,58,1,5,8,20,18,37.84082209,127.7117946,미운영,,2002-11-22,,,
,강원,11,강원특별자치도,춘천시,샛별어린이집,민간,정상,24213,강원특별자치도 춘천시 춘천로 508-3 ,033-251-6636,033-257-2372,6,302,1,20,15,90,62,37.89429102,127.7612493,운영,,2004-12-15,,,
,강원,12,강원특별자치도,춘천시,모자이크어린이집,가정,정상,24393,"강원특별자치도 춘천시 퇴계로 242 (석사동, 퇴계주공4차아파트 관리동)",033-262-5888,033-262-5889,3,75,3,4,4,19,6,37.85554572,127.744616,미운영,,1999-08-16,,,
